subj_idx,valence,matchness,condition,rt_m,sd,var
3,Good,mismatch,simultaneous,730.675,117.34266880839604,13769.301923076922
3,Good,mismatch,word_first,636.2857142857143,140.5592969759971,19756.915966386554
3,Neutral,match,image_first,616.5405405405405,105.10460255135109,11046.977477477478
3,Neutral,match,simultaneous,654.078947368421,82.87450022806297,6868.182788051209
3,Neutral,match,word_first,561.4285714285714,102.94409839790713,10597.487394957983
3,Neutral,mismatch,image_first,644.725,105.71635671419574,11175.948076923078
3,Neutral,mismatch,simultaneous,740.15,87.37468682310625,7634.335897435897
3,Neutral,mismatch,word_first,637.9444444444445,121.19239590583571,14687.596825396826
4,Bad,match,image_first,927.4857142857143,195.1610754688323,38087.84537815126
4,Bad,match,simultaneous,953.918918918919,202.78962530694741,41123.63213213213
4,Bad,match,word_first,723.4,150.03829396248284,22511.489655172412
4,Bad,mismatch,image_first,907.2222222222222,221.87449619884677,49228.29206349207
4,Bad,mismatch,simultaneous,963.8947368421053,180.77951173582252,32681.23186344239
4,Bad,mismatch,word_first,802.5675675675676,200.3508783970624,40140.474474474475
4,Good,match,image_first,802.6571428571428,169.49127044276506,28727.290756302522
4,Good,match,simultaneous,935,199.3294641896116,39732.23529411765
4,Good,match,word_first,735.9473684210526,139.96581578186232,19590.42958748222
4,Good,mismatch,image_first,928.969696969697,191.45601401635392,36655.405303030304
4,Good,mismatch,simultaneous,950.7647058823529,182.2324620689987,33208.670231729055
4,Good,mismatch,word_first,798.0357142857143,152.56704225012814,23276.70238095238
4,Neutral,match,image_first,805.3055555555555,184.00307752774827,33857.13253968254
4,Neutral,match,simultaneous,853.2857142857143,212.25741467386626,45053.21008403361
4,Neutral,match,word_first,741.0571428571428,135.35572802524354,18321.173109243697
4,Neutral,mismatch,image_first,816.1538461538462,192.59536782721963,37092.975708502025
4,Neutral,mismatch,simultaneous,931.1052631578947,156.79540628159344,24584.799431009957
4,Neutral,mismatch,word_first,817.8,184.3380526290186,33980.51764705883
5,Bad,match,image_first,682.2307692307693,215.29068006552657,46350.07692307692
5,Bad,match,simultaneous,794.1944444444445,183.44447496947242,33651.875396825395
5,Bad,match,word_first,721.75,202.49111091601034,41002.65
5,Bad,mismatch,image_first,767.4242424242424,185.73082510434122,34495.93939393939
5,Bad,mismatch,simultaneous,940.8378378378378,223.3519287673247,49886.08408408408
5,Bad,mismatch,word_first,785.9487179487179,199.68118651568827,39872.57624831309
5,Good,match,image_first,709.475,257.1490625777496,66125.64038461538
5,Good,match,simultaneous,746.4,172.35931461146313,29707.733333333334
5,Good,match,word_first,719.175,208.56418645538085,43499.01987179487
5,Good,mismatch,image_first,778.4705882352941,160.4756632722663,25752.4385026738
5,Good,mismatch,simultaneous,991.8387096774194,247.6680704456664,61339.47311827957
5,Good,mismatch,word_first,795.5294117647059,204.8504606534887,41963.71122994652
5,Neutral,match,image_first,696.7631578947369,212.01688283241594,44951.15860597439
5,Neutral,match,simultaneous,733.4358974358975,174.97425297391237,30615.989203778678
5,Neutral,match,word_first,592.5384615384615,111.87301216201533,12515.57085020243
5,Neutral,mismatch,image_first,716.4358974358975,118.10182824731217,13948.041835357624
5,Neutral,mismatch,simultaneous,843.3589743589744,164.78702158583638,27154.762483130904
5,Neutral,mismatch,word_first,668.4358974358975,137.48201698132146,18901.30499325236
6,Bad,match,image_first,676.1025641025641,120.98320781083517,14636.93657219973
6,Bad,match,simultaneous,810.8421052631579,134.58997318498345,18114.460881934567
6,Bad,match,word_first,660.8461538461538,158.22793992105161,25036.080971659918
6,Bad,mismatch,image_first,669.925,142.49145498446475,20303.814743589744
6,Bad,mismatch,simultaneous,865.4358974358975,193.18504830340572,37320.462887989204
6,Bad,mismatch,word_first,654.4,171.3432302838445,29358.502564102564
6,Good,match,image_first,583.6315789473684,150.98226512151462,22795.64438122333
6,Good,match,simultaneous,733.4358974358975,164.05371310252642,26913.620782726044
6,Good,match,word_first,592.325,157.63319764567362,24848.225
6,Good,mismatch,image_first,704.2820512820513,168.00719732671052,28226.41835357625
6,Good,mismatch,simultaneous,806.9736842105264,125.52344173060895,15756.134423897582
6,Good,mismatch,word_first,679.775,170.27391017762963,28993.204487179486
6,Neutral,match,image_first,709.8157894736842,173.13420123085552,29975.451635846373
6,Neutral,match,simultaneous,863.3846153846154,180.35719170354778,32528.716599190284
6,Neutral,match,word_first,692.2972972972973,179.94487811315764,32380.15915915916
6,Neutral,mismatch,image_first,671.6666666666666,144.5381634785581,20891.280701754386
6,Neutral,mismatch,simultaneous,876.4615384615385,164.9942337355821,27223.0971659919
6,Neutral,mismatch,word_first,701.75,183.10943204150928,33529.0641025641
7,Bad,match,image_first,521.9230769230769,82.77343351309379,6851.441295546559
7,Bad,match,simultaneous,655.6388888888889,75.87664906290915,5757.265873015873
7,Bad,match,word_first,571.5405405405405,81.32602241547242,6613.921921921922
7,Bad,mismatch,image_first,544.625,84.27022697160697,7101.471153846154
7,Bad,mismatch,simultaneous,692.025,90.44490814996945,8180.28141025641
7,Bad,mismatch,word_first,622.0263157894736,99.66036563223936,9932.188477951637
7,Good,match,image_first,480.53846153846155,55.40275793716893,3069.4655870445345
7,Good,match,simultaneous,581.625,45.7936774832061,2097.0608974358975
7,Good,match,word_first,514.6923076923077,56.66947282088983,3211.429149797571
7,Good,mismatch,image_first,565.1052631578947,67.46522206119768,4551.556187766714
7,Good,mismatch,simultaneous,683.2631578947369,80.50975573268471,6481.8207681365575
7,Good,mismatch,word_first,612.1081081081081,85.25607954333286,7268.5990990990995
7,Neutral,match,image_first,565.7567567567568,91.11452055438724,8301.855855855856
7,Neutral,match,simultaneous,706.3125,76.08799553488139,5789.383064516129
7,Neutral,match,word_first,557.4117647058823,74.18899601777056,5504.007130124777
7,Neutral,mismatch,image_first,558.9473684210526,63.90996511919149,4084.483641536273
7,Neutral,mismatch,simultaneous,733.2307692307693,104.96752919943775,11018.182186234817
7,Neutral,mismatch,word_first,614.175,112.96059841764205,12760.096794871795
8,Bad,match,image_first,749,114.43229439279806,13094.75
8,Bad,match,simultaneous,782.4117647058823,100.13055648624943,10026.12834224599
8,Bad,match,word_first,646.6052631578947,109.32286412365507,11951.488620199147
8,Bad,mismatch,image_first,704.1081081081081,161.39819353659718,26049.37687687688
8,Bad,mismatch,simultaneous,840.8666666666667,112.68532117891577,12697.981609195402
8,Bad,mismatch,word_first,727.6578947368421,131.9310377423463,17405.798719772403
8,Good,match,image_first,708.6764705882352,122.41700233175557,14985.922459893049
8,Good,match,simultaneous,721.7894736842105,109.1414054000061,11911.846372688478
8,Good,match,word_first,584.2941176470588,97.02812132565352,9414.45632798574
8,Good,mismatch,image_first,762.2058823529412,126.08433430957538,15897.25935828877
8,Good,mismatch,simultaneous,810.8857142857142,75.06184564923052,5634.280672268907
8,Good,mismatch,word_first,676.1621621621622,103.30335950047358,10671.584084084085
8,Neutral,match,image_first,688.3611111111111,109.27348463577266,11940.694444444445
8,Neutral,match,simultaneous,753.081081081081,106.47831766201104,11337.632132132132
8,Neutral,match,word_first,637.0769230769231,85.63459231414438,7333.283400809717
8,Neutral,mismatch,image_first,790.3947368421053,150.13589150331924,22540.785917496443
8,Neutral,mismatch,simultaneous,869.4444444444445,102.43532996674939,10492.996825396825
8,Neutral,mismatch,word_first,719.5263157894736,121.62097455177955,14791.661450924608
9,Bad,match,image_first,706.775,122.47354240709946,14999.76858974359
9,Bad,match,simultaneous,777.6756756756756,125.31494857492595,15703.836336336337
9,Bad,match,word_first,734.8571428571429,167.490498915284,28053.067226890755
9,Bad,mismatch,image_first,746.5263157894736,157.11413252827958,24684.850640113797
9,Bad,mismatch,simultaneous,852.7631578947369,163.39844092850547,26699.050497866287
9,Bad,mismatch,word_first,740.425,131.5257384385082,17299.019871794873
9,Good,match,image_first,650.7435897435897,188.02753409075044,35354.353576248315
9,Good,match,simultaneous,775.5675675675676,183.30765585947765,33601.696696696694
9,Good,match,word_first,682,109.49530685021264,11989.222222222223
9,Good,mismatch,image_first,692.6666666666666,141.35739202709476,19981.912280701756
9,Good,mismatch,simultaneous,839.6052631578947,161.66323680327775,26135.00213371266
9,Good,mismatch,word_first,727.027027027027,181.38333968674166,32899.91591591592
9,Neutral,match,image_first,636.2105263157895,87.18019794213029,7600.386913229018
9,Neutral,match,simultaneous,767.1578947368421,159.64750466825166,25487.32574679943
9,Neutral,match,word_first,676.525,178.74849649717336,31951.025
9,Neutral,mismatch,image_first,744.3846153846154,160.81807560500016,25862.453441295547
9,Neutral,mismatch,simultaneous,825,135.5992547720556,18387.157894736843
9,Neutral,mismatch,word_first,657.8974358974359,159.57753351828282,25464.989203778678
10,Bad,match,image_first,689.2857142857143,183.6263103390674,33718.621848739494
10,Bad,match,simultaneous,783.6578947368421,171.4819786159545,29406.068990042673
10,Bad,match,word_first,612.3684210526316,86.92787350461381,7556.455192034139
10,Bad,mismatch,image_first,775.3783783783783,226.6597243239977,51374.63063063063
10,Bad,mismatch,simultaneous,804.7567567567568,188.47905946246618,35524.35585585586
10,Bad,mismatch,word_first,712.775,162.0209684910235,26250.794230769232
10,Good,match,image_first,687.725,203.70919286181038,41497.43525641026
10,Good,match,simultaneous,734.45,99.79413425031169,9958.86923076923
10,Good,match,word_first,645.1578947368421,112.99833204121524,12768.623044096728
10,Good,mismatch,image_first,744.2222222222222,160.53021275245732,25769.949206349207
10,Good,mismatch,simultaneous,819.8684210526316,143.17239108994625,20498.333570412517
10,Good,mismatch,word_first,674.1351351351351,131.03862071969516,17171.12012012012
10,Neutral,match,image_first,610.974358974359,127.85034161687625,16345.709851551957
10,Neutral,match,simultaneous,720.921052631579,96.33791361069649,9280.99359886202
10,Neutral,match,word_first,583.3157894736842,126.39216218924891,15974.9786628734
10,Neutral,mismatch,image_first,713.6153846153846,120.23761898941162,14457.085020242916
10,Neutral,mismatch,simultaneous,789.8205128205128,137.47571494533167,18899.572199730093
10,Neutral,mismatch,word_first,666.2564102564103,135.69174003265792,18412.24831309042
11,Bad,match,image_first,826.2,181.5788590427918,32970.88205128205
11,Bad,match,simultaneous,1047.5714285714287,189.26200310708384,35820.10582010582
11,Bad,match,word_first,861.6944444444445,149.6299854296676,22389.13253968254
