subj_idx,matchness,valence,condition,N,countN,ACC
12,mismatch,Bad,image_first,39,37,0.9487179487179487
12,mismatch,Bad,simultaneous,40,34,0.85
12,mismatch,Bad,word_first,40,39,0.975
12,mismatch,Good,image_first,40,30,0.75
12,mismatch,Good,simultaneous,40,28,0.7
12,mismatch,Good,word_first,40,29,0.725
12,mismatch,Neutral,image_first,40,32,0.8
12,mismatch,Neutral,simultaneous,39,34,0.8717948717948718
12,mismatch,Neutral,word_first,40,34,0.85
13,match,Bad,image_first,40,32,0.8
13,match,Bad,simultaneous,40,29,0.725
13,match,Bad,word_first,40,31,0.775
13,match,Good,image_first,40,40,1
13,match,Good,simultaneous,40,40,1
13,match,Good,word_first,40,40,1
13,match,Neutral,image_first,40,33,0.825
13,match,Neutral,simultaneous,40,35,0.875
13,match,Neutral,word_first,40,36,0.9
13,mismatch,Bad,image_first,40,33,0.825
13,mismatch,Bad,simultaneous,40,29,0.725
13,mismatch,Bad,word_first,40,32,0.8
13,mismatch,Good,image_first,40,32,0.8
13,mismatch,Good,simultaneous,40,29,0.725
13,mismatch,Good,word_first,40,37,0.925
13,mismatch,Neutral,image_first,40,31,0.775
13,mismatch,Neutral,simultaneous,40,35,0.875
13,mismatch,Neutral,word_first,40,32,0.8
14,match,Bad,image_first,39,28,0.717948717948718
14,match,Bad,simultaneous,40,28,0.7
14,match,Bad,word_first,40,36,0.9
14,match,Good,image_first,39,35,0.8974358974358975
14,match,Good,simultaneous,40,37,0.925
14,match,Good,word_first,40,25,0.625
14,match,Neutral,image_first,40,34,0.85
14,match,Neutral,simultaneous,40,26,0.65
14,match,Neutral,word_first,40,32,0.8
14,mismatch,Bad,image_first,40,38,0.95
14,mismatch,Bad,simultaneous,40,37,0.925
14,mismatch,Bad,word_first,40,36,0.9
14,mismatch,Good,image_first,40,38,0.95
14,mismatch,Good,simultaneous,40,37,0.925
14,mismatch,Good,word_first,40,31,0.775
14,mismatch,Neutral,image_first,39,31,0.7948717948717948
14,mismatch,Neutral,simultaneous,40,38,0.95
14,mismatch,Neutral,word_first,40,32,0.8
15,match,Bad,image_first,40,37,0.925
15,match,Bad,simultaneous,40,35,0.875
15,match,Bad,word_first,40,38,0.95
15,match,Good,image_first,40,36,0.9
15,match,Good,simultaneous,40,37,0.925
15,match,Good,word_first,39,39,1
15,match,Neutral,image_first,40,38,0.95
15,match,Neutral,simultaneous,40,36,0.9
15,match,Neutral,word_first,40,40,1
15,mismatch,Bad,image_first,40,33,0.825
15,mismatch,Bad,simultaneous,40,31,0.775
15,mismatch,Bad,word_first,40,32,0.8
15,mismatch,Good,image_first,39,32,0.8205128205128205
15,mismatch,Good,simultaneous,40,35,0.875
15,mismatch,Good,word_first,38,32,0.8421052631578947
15,mismatch,Neutral,image_first,40,38,0.95
15,mismatch,Neutral,simultaneous,40,36,0.9
15,mismatch,Neutral,word_first,40,39,0.975
16,match,Bad,image_first,40,37,0.925
16,match,Bad,simultaneous,40,39,0.975
16,match,Bad,word_first,40,39,0.975
16,match,Good,image_first,40,36,0.9
16,match,Good,simultaneous,40,39,0.975
16,match,Good,word_first,40,37,0.925
16,match,Neutral,image_first,40,37,0.925
16,match,Neutral,simultaneous,40,38,0.95
16,match,Neutral,word_first,40,39,0.975
16,mismatch,Bad,image_first,40,40,1
16,mismatch,Bad,simultaneous,40,40,1
16,mismatch,Bad,word_first,40,40,1
16,mismatch,Good,image_first,40,38,0.95
16,mismatch,Good,simultaneous,40,36,0.9
16,mismatch,Good,word_first,40,40,1
16,mismatch,Neutral,image_first,39,38,0.9743589743589743
16,mismatch,Neutral,simultaneous,40,40,1
16,mismatch,Neutral,word_first,40,40,1
17,match,Bad,image_first,40,33,0.825
17,match,Bad,simultaneous,40,27,0.675
17,match,Bad,word_first,40,30,0.75
17,match,Good,image_first,40,39,0.975
17,match,Good,simultaneous,40,31,0.775
17,match,Good,word_first,40,40,1
17,match,Neutral,image_first,40,33,0.825
17,match,Neutral,simultaneous,40,32,0.8
17,match,Neutral,word_first,40,37,0.925
17,mismatch,Bad,image_first,40,37,0.925
17,mismatch,Bad,simultaneous,40,33,0.825
17,mismatch,Bad,word_first,40,36,0.9
17,mismatch,Good,image_first,40,35,0.875
17,mismatch,Good,simultaneous,39,30,0.7692307692307693
17,mismatch,Good,word_first,40,34,0.85
17,mismatch,Neutral,image_first,40,37,0.925
17,mismatch,Neutral,simultaneous,40,34,0.85
17,mismatch,Neutral,word_first,40,37,0.925
18,match,Bad,image_first,40,34,0.85
18,match,Bad,simultaneous,40,33,0.825
18,match,Bad,word_first,40,36,0.9
18,match,Good,image_first,40,36,0.9
18,match,Good,simultaneous,40,37,0.925
18,match,Good,word_first,40,39,0.975
18,match,Neutral,image_first,40,34,0.85
18,match,Neutral,simultaneous,40,40,1
18,match,Neutral,word_first,40,38,0.95
18,mismatch,Bad,image_first,40,39,0.975
18,mismatch,Bad,simultaneous,40,37,0.925
18,mismatch,Bad,word_first,40,39,0.975
18,mismatch,Good,image_first,39,32,0.8205128205128205
18,mismatch,Good,simultaneous,40,35,0.875
18,mismatch,Good,word_first,40,34,0.85
18,mismatch,Neutral,image_first,40,39,0.975
18,mismatch,Neutral,simultaneous,40,38,0.95
18,mismatch,Neutral,word_first,40,36,0.9
19,match,Bad,image_first,40,37,0.925
19,match,Bad,simultaneous,39,35,0.8974358974358975
19,match,Bad,word_first,40,37,0.925
19,match,Good,image_first,40,36,0.9
19,match,Good,simultaneous,39,39,1
19,match,Good,word_first,39,33,0.8461538461538461
19,match,Neutral,image_first,40,34,0.85
19,match,Neutral,simultaneous,40,35,0.875
19,match,Neutral,word_first,40,36,0.9
19,mismatch,Bad,image_first,39,36,0.9230769230769231
19,mismatch,Bad,simultaneous,40,35,0.875
19,mismatch,Bad,word_first,40,39,0.975
19,mismatch,Good,image_first,40,32,0.8
19,mismatch,Good,simultaneous,38,28,0.7368421052631579
19,mismatch,Good,word_first,39,31,0.7948717948717948
19,mismatch,Neutral,image_first,40,38,0.95
19,mismatch,Neutral,simultaneous,39,27,0.6923076923076923
19,mismatch,Neutral,word_first,40,35,0.875
20,match,Bad,image_first,39,30,0.7692307692307693
20,match,Bad,simultaneous,38,34,0.8947368421052632
20,match,Bad,word_first,38,36,0.9473684210526315
20,match,Good,image_first,40,39,0.975
20,match,Good,simultaneous,40,38,0.95
20,match,Good,word_first,39,38,0.9743589743589743
20,match,Neutral,image_first,40,39,0.975
20,match,Neutral,simultaneous,40,37,0.925
20,match,Neutral,word_first,40,36,0.9
20,mismatch,Bad,image_first,40,40,1
20,mismatch,Bad,simultaneous,39,39,1
20,mismatch,Bad,word_first,40,40,1
20,mismatch,Good,image_first,40,39,0.975
20,mismatch,Good,simultaneous,40,40,1
20,mismatch,Good,word_first,40,37,0.925
20,mismatch,Neutral,image_first,39,39,1
20,mismatch,Neutral,simultaneous,38,36,0.9473684210526315
20,mismatch,Neutral,word_first,40,38,0.95
